,siglaUFAutor,idDeputadoAutor,nomeAutor,2019,2020,2021,2022
0,AC,73943.0,Perpétua Almeida,208.0,400.0,443.0,105.0
1,AC,141434.0,Flaviano Melo,7.0,3.0,0.0,6.0
2,AC,178825.0,Leo de Brito,2.0,36.0,198.0,63.0
3,AC,178836.0,Alan Rick,9.0,40.0,8.0,8.0
4,AC,178839.0,Jéssica Sales,11.0,39.0,16.0,0.0
5,AC,204434.0,Dra. Vanda Milani,5.0,3.0,3.0,2.0
6,AC,204435.0,Jesus Sérgio,312.0,254.0,47.0,11.0
7,AC,204469.0,Manuel Marcos,59.0,7.0,0.0,0.0
8,AC,204471.0,Mara Rocha,40.0,56.0,34.0,11.0
9,AL,160541.0,Arthur Lira,19.0,4.0,0.0,0.0
10,AL,171617.0,Paulão,13.0,257.0,151.0,38.0
11,AL,178842.0,JHC,15.0,75.0,0.0,0.0
12,AL,178842.0,Jhc,8.0,0.0,0.0,0.0
13,AL,178843.0,Marx Beltrão,31.0,40.0,19.0,2.0
14,AL,178844.0,Pedro Vilela,0.0,0.0,52.0,11.0
15,AL,194260.0,Nivaldo Albuquerque,33.0,53.0,245.0,5.0
16,AL,204436.0,Isnaldo Bulhões Jr.,8.0,11.0,7.0,4.0
17,AL,204437.0,Severino Pessoa,15.0,2.0,13.0,5.0
18,AL,204438.0,Sergio Toledo,7.0,0.0,2.0,0.0
19,AL,204466.0,Tereza Nelma,24.0,121.0,73.0,28.0
20,AM,74090.0,Átila Lins,7.0,14.0,20.0,4.0
21,AM,74356.0,Silas Câmara,97.0,10.0,16.0,7.0
22,AM,204551.0,Bosco Saraiva,8.0,6.0,6.0,0.0
23,AM,204555.0,José Ricardo,111.0,356.0,239.0,85.0
24,AM,204556.0,Marcelo Ramos,40.0,42.0,36.0,19.0
25,AM,204557.0,Sidney Leite,20.0,28.0,32.0,11.0
26,AM,204569.0,Delegado Pablo,17.0,27.0,43.0,33.0
27,AM,204572.0,Capitão Alberto Neto,165.0,677.0,415.0,258.0
28,AM,205234.0,Felipe Souza,15.0,0.0,0.0,0.0
29,AP,160591.0,Vinicius Gurgel,0.0,4.0,11.0,0.0
30,AP,160641.0,Professora Marcivania,6.0,77.0,24.0,15.0
31,AP,160645.0,Luiz Carlos,1.0,0.0,2.0,0.0
32,AP,178831.0,André Abdon,0.0,2.0,2.0,0.0
33,AP,204352.0,Camilo Capiberibe,35.0,193.0,46.0,22.0
34,AP,204353.0,Aline Gurgel,27.0,67.0,40.0,10.0
35,AP,204375.0,Leda Sadala,0.0,22.0,32.0,14.0
36,AP,204379.0,Acácio Favacho,5.0,35.0,15.0,4.0
37,AP,205535.0,Patricia Ferraz,11.0,170.0,0.0,0.0
38,AP,217330.0,Pedro Dalua,0.0,0.0,0.0,0.0
39,AP,218245.0,Jorielson,0.0,0.0,2.0,1.0
40,BA,69871.0,Bacelar,31.0,58.0,29.0,14.0
41,BA,73808.0,Sérgio Brito,0.0,0.0,2.0,4.0
42,BA,74057.0,Alice Portugal,31.0,165.0,105.0,24.0
43,BA,74060.0,Daniel Almeida,38.0,39.0,36.0,14.0
44,BA,74537.0,Claudio Cajado,2.0,9.0,0.0,0.0
45,BA,74554.0,José Rocha,4.0,4.0,0.0,6.0
46,BA,74570.0,Jutahy Junior,1.0,0.0,0.0,0.0
47,BA,74571.0,Nelson Pellegrino,15.0,0.0,0.0,0.0
48,BA,74574.0,Paulo Magalhães,0.0,1.0,3.0,0.0
49,BA,92102.0,Leur Lomanto Júnior,14.0,3.0,0.0,1.0
50,BA,93083.0,Cacá Leão,2.0,10.0,12.0,7.0
51,BA,139285.0,Lídice da Mata,27.0,194.0,107.0,71.0
52,BA,141458.0,João Carlos Bacelar,3.0,5.0,1.0,4.0
53,BA,150418.0,Márcio Marinho,9.0,22.0,8.0,3.0
54,BA,160508.0,Afonso Florence,30.0,235.0,149.0,47.0
55,BA,160553.0,Antonio Brito,4.0,10.0,9.0,10.0
56,BA,160569.0,Waldenor Pereira,16.0,256.0,127.0,41.0
57,BA,160600.0,Arthur Oliveira Maia,6.0,6.0,0.0,8.0
58,BA,160610.0,Valmir Assunção,30.0,375.0,220.0,52.0
59,BA,160619.0,José Nunes,4.0,10.0,1.0,0.0
60,BA,160666.0,Félix Mendonça Júnior,8.0,22.0,41.0,10.0
61,BA,178834.0,Bebeto,0.0,0.0,1.0,0.0
62,BA,178854.0,Elmar Nascimento,13.0,0.0,2.0,0.0
63,BA,178857.0,Jorge Solla,27.0,454.0,143.0,40.0
64,BA,178858.0,Mário Negromonte Jr.,12.0,19.0,9.0,7.0
65,BA,178860.0,Paulo Azi,4.0,1.0,0.0,0.0
66,BA,178861.0,Ronaldo Carletto,36.0,48.0,67.0,13.0
67,BA,178862.0,Tia Eron,3.0,0.0,52.0,0.0
68,BA,178863.0,Uldurico Junior,9.0,10.0,2.0,4.0
69,BA,197438.0,Tito,7.0,6.0,12.0,5.0
70,BA,204553.0,Pastor Sargento Isidório,59.0,31.0,25.0,9.0
71,BA,204554.0,Abílio Santana,3.0,0.0,5.0,5.0
72,BA,204558.0,Marcelo Nilo,9.0,50.0,3.0,0.0
73,BA,204559.0,Zé Neto,29.0,114.0,32.0,35.0
74,BA,204560.0,Adolfo Viana,8.0,1.0,7.0,3.0
75,BA,204564.0,Igor Kannário,29.0,6.0,38.0,23.0
76,BA,204565.0,Professora Dayane Pimentel,29.0,29.0,19.0,10.0
77,BA,204567.0,Raimundo Costa,9.0,2.0,1.0,0.0
78,BA,204571.0,Alex Santana,14.0,12.0,15.0,15.0
79,BA,204573.0,Otto Alencar Filho,31.0,23.0,35.0,17.0
80,BA,204576.0,João Roma,38.0,10.0,0.0,10.0
81,BA,205476.0,Charles Fernandes,65.0,5.0,3.0,11.0
82,BA,209189.0,Joseildo Ramos,8.0,193.0,19.0,22.0
83,BA,213679.0,Dr. João,0.0,9.0,0.0,0.0
84,BA,214865.0,Joceval Rodrigues,0.0,0.0,0.0,18.0
85,CE,62881.0,Danilo Forte,0.0,14.0,17.0,18.0
86,CE,74212.0,Aníbal Gomes,0.0,0.0,5.0,0.0
87,CE,74299.0,Leônidas Cristino,11.0,28.0,19.0,10.0
88,CE,74305.0,Roberto Pessoa,62.0,37.0,0.0,0.0
89,CE,90201.0,Pedro Augusto Bezerra,45.0,76.0,49.0,11.0
90,CE,122466.0,Ronaldo Martins,7.0,2.0,0.0,6.0
91,CE,133439.0,André Figueiredo,64.0,235.0,54.0,46.0
92,CE,141386.0,Eudes Xavier,1.0,0.0,0.0,0.0
93,CE,141464.0,José Airton Félix Cirilo,15.0,182.0,49.0,14.0
94,CE,141470.0,José Guimarães,67.0,539.0,257.0,59.0
95,CE,143632.0,Domingos Neto,26.0,8.0,4.0,4.0
96,CE,160669.0,Genecias Noronha,1.0,3.0,1.0,0.0
97,CE,178866.0,Luizianne Lins,20.0,290.0,101.0,41.0
98,CE,178868.0,Odorico Monteiro,6.0,1.0,9.0,0.0
99,CE,178997.0,Moses Rodrigues,5.0,4.0,11.0,8.0
100,CE,195866.0,Vaidon Oliveira,4.0,8.0,0.0,0.0
101,CE,204481.0,Dr. Jaziel,36.0,32.0,18.0,37.0
102,CE,204486.0,Mauro Benevides Filho,1.0,14.0,0.0,2.0
