,deputado_siglaUf,deputado_id,deputado_nome,2019,2020,2021,2022
0,AC,73943,Perpétua Almeida,257.0,334.0,688.0,379.0
1,AC,123756,Antônia Lúcia,0.0,0.0,0.0,24.0
2,AC,141434,Flaviano Melo,149.0,352.0,662.0,329.0
3,AC,178825,Leo de Brito,0.0,117.0,704.0,369.0
4,AC,178836,Alan Rick,265.0,354.0,675.0,320.0
5,AC,178839,Jéssica Sales,212.0,352.0,529.0,153.0
6,AC,204434,Dra. Vanda Milani,236.0,349.0,632.0,325.0
7,AC,204435,Jesus Sérgio,248.0,311.0,657.0,334.0
8,AC,204469,Manuel Marcos,261.0,223.0,0.0,0.0
9,AC,204471,Mara Rocha,302.0,371.0,727.0,339.0
10,AL,160541,Arthur Lira,144.0,87.0,447.0,253.0
11,AL,171617,Paulão,239.0,335.0,712.0,367.0
12,AL,178842,JHC,0.0,253.0,0.0,0.0
13,AL,178842,Jhc,229.0,13.0,0.0,0.0
14,AL,178843,Marx Beltrão,166.0,299.0,611.0,303.0
15,AL,178844,Pedro Vilela,0.0,0.0,659.0,318.0
16,AL,194260,Nivaldo Albuquerque,295.0,311.0,542.0,234.0
17,AL,204436,Isnaldo Bulhões Jr.,188.0,238.0,450.0,155.0
18,AL,204437,Severino Pessoa,211.0,222.0,589.0,235.0
19,AL,204438,Sergio Toledo,271.0,349.0,636.0,188.0
20,AL,204466,Tereza Nelma,154.0,323.0,557.0,283.0
21,AM,74090,Átila Lins,220.0,285.0,600.0,254.0
22,AM,74356,Silas Câmara,202.0,287.0,567.0,201.0
23,AM,204551,Bosco Saraiva,236.0,300.0,608.0,203.0
24,AM,204555,José Ricardo,268.0,300.0,698.0,351.0
25,AM,204556,Marcelo Ramos,273.0,317.0,494.0,170.0
26,AM,204557,Sidney Leite,223.0,285.0,573.0,229.0
27,AM,204569,Delegado Pablo,254.0,312.0,595.0,291.0
28,AM,204572,Capitão Alberto Neto,215.0,317.0,665.0,367.0
29,AP,160591,Vinicius Gurgel,64.0,160.0,623.0,158.0
30,AP,160641,Professora Marcivania,223.0,328.0,698.0,375.0
31,AP,160645,Luiz Carlos,232.0,215.0,277.0,177.0
32,AP,178831,André Abdon,218.0,273.0,601.0,286.0
33,AP,204352,Camilo Capiberibe,256.0,329.0,703.0,346.0
34,AP,204353,Aline Gurgel,156.0,314.0,517.0,231.0
35,AP,204375,Leda Sadala,187.0,313.0,530.0,252.0
